Proveitos Globais | NUTS II;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Outros;2 136 156;1 956 986;2 254 167;2 151 123;3 077 251;2 880 167;3 231 457;2 742 352;3 337 553;2 930 522;2 963 354;2 494 943;3 019 114;2 556 248;3 115 450;2 934 919;3 179 979;;2 733 511;;2 173 176;;1 973 029;;33 194 197;20 647 260
Total Global;123 115 789;138 042 006;137 742 655;151 828 270;188 497 881;220 437 143;270 193 955;277 966 281;316 346 710;344 742 962;350 473 287;378 663 096;430 058 673;453 218 380;505 007 034;522 492 931;415 304 471;;323 673 135;;178 030 928;;159 382 824;;3 397 827 342;2 487 391 069
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Proveitos Globais por Tipologia | Portugal;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;janeiro;;fevereiro;;março;;abril;;maio;;junho;;julho;;agosto;;setembro;;outubro;;novembro;;dezembro;;Acumulado;
;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018;2017;2018
Hotéis;99 498 708;111 841 878;110 036 375;121 726 125;150 568 207;177 405 258;212 007 964;222 493 337;249 536 419;275 523 742;265 044 874;291 903 867;307 810 229;330 599 222;357 295 352;372 430 432;320 037 085;;258 464 307;;146 793 029;;129 858 043;;2 606 950 592;1 903 923 861
5*;34 538 646;38 503 704;39 136 269;40 365 577;53 143 308;59 800 108;71 607 003;76 184 085;84 530 154;95 959 290;92 515 172;104 555 717;108 569 617;116 221 628;121 589 823;127 434 707;116 187 180;;89 336 934;;50 105 117;;42 273 570;;903 532 793;659 024 816
4*;44 750 543;50 710 185;49 060 160;55 780 138;68 443 805;81 430 423;97 214 668;101 195 934;113 818 146;123 861 028;120 415 979;130 659 271;137 932 537;150 691 840;161 663 660;170 130 040;140 125 647;;116 435 349;;67 057 811;;60 141 074;;1 177 059 379;864 458 859
3*;13 927 942;15 721 245;15 202 296;18 218 824;20 390 523;25 678 524;31 527 492;32 804 346;37 229 118;40 430 184;38 269 147;41 949 079;45 103 581;46 673 048;54 219 188;53 422 018;46 356 026;;38 775 219;;20 773 240;;19 573 286;;381 347 058;274 897 268
2* e 1*;6 281 577;6 906 744;6 637 650;7 361 586;8 590 571;10 496 203;11 658 801;12 308 972;13 959 001;15 273 240;13 844 576;14 739 800;16 204 494;17 012 706;19 822 681;21 443 667;17 368 232;;13 916 805;;8 856 861;;7 870 113;;145 011 362;105 542 918
Hotéis-Apartamentos;10 295 662;11 448 182;12 390 728;13 809 957;17 564 570;20 284 320;26 005 173;25 931 135;29 959 555;31 692 218;38 649 751;39 873 498;52 909 137;53 287 266;62 579 804;64 948 771;41 841 722;;28 657 976;;14 305 600;;12 430 177;;347 589 855;261 275 347
Pousadas;2 333 808;2 532 740;2 403 218;2 857 294;3 238 244;3 810 406;4 814 798;4 489 507;5 558 417;5 968 118;5 827 459;6 083 614;6 253 014;6 512 621;7 531 547;7 475 910;6 996 291;;5 491 736;;3 165 877;;3 810 296;;57 424 705;39 730 210
Aldeamentos Turísticos;3 156 678;3 494 250;3 948 439;4 267 240;5 276 715;6 484 033;9 270 061;9 396 895;10 811 904;11 909 932;13 874 621;14 791 261;23 351 387;23 737 781;28 708 893;29 350 395;15 580 738;;11 121 533;;3 578 366;;3 901 788;;132 581 123;103 431 787
